Frame,Estado,Angulo_Joelho_Esquerdo,Angulo_Joelho_Direito,Angulo_Tornozelo_Esquerdo,Angulo_Tornozelo_Direito,Distancia_Pes_Px,Distancia_Ombros_Px,Ombro_Esquerdo_Y_Px,Ombro_Direito_Y_Px,Quadril_Esquerdo_Y_Px,Quadril_Direito_Y_Px
1,0,176.57,176.08,158.50,155.73,60.00,49.00,144,145,215,216
2,0,176.57,176.09,158.30,156.10,60.00,48.00,144,145,215,216
3,0,176.18,176.05,158.10,156.37,60.00,48.00,144,146,215,216
4,0,175.65,175.69,157.80,156.54,60.00,48.00,144,146,216,216
5,0,175.13,174.78,157.90,157.10,60.00,48.00,145,146,216,217
6,0,174.61,174.15,158.06,157.54,60.00,48.00,145,147,216,217
7,0,173.86,173.13,158.32,158.22,60.00,48.00,146,147,217,218
8,0,173.40,172.40,158.42,158.74,60.00,48.00,147,148,218,218
9,0,172.80,172.01,158.48,159.20,60.00,49.00,147,149,218,219
10,0,172.10,170.86,158.50,159.84,60.00,48.00,148,150,219,220
11,0,170.95,169.18,158.88,160.62,60.00,48.00,150,152,219,220
12,0,169.75,167.98,159.13,161.07,60.00,48.00,152,154,220,222
13,0,168.32,166.96,159.40,160.78,61.00,48.00,154,155,221,223
14,0,166.66,166.05,159.85,160.68,61.00,47.00,155,157,222,224
15,0,165.09,164.38,160.14,160.62,61.00,47.00,157,158,223,225
16,1,163.25,163.09,160.40,160.39,61.00,47.00,158,160,224,225
17,1,161.45,161.93,160.79,160.20,62.00,47.00,159,161,225,226
18,1,160.00,161.16,161.11,160.11,62.00,47.00,162,163,226,227
19,1,158.73,159.95,160.94,160.23,62.00,47.00,163,165,228,228
20,1,157.40,159.06,161.19,160.30,62.00,47.00,165,167,229,229
21,1,156.63,157.92,160.94,160.24,62.00,47.00,167,169,230,231
22,1,155.76,156.75,160.10,160.14,62.00,47.00,169,171,232,232
23,1,154.87,156.18,159.56,160.02,62.00,47.00,171,173,233,233
24,1,154.13,155.53,159.53,160.31,62.00,47.00,173,174,234,234
25,1,152.90,154.64,159.59,160.49,62.00,48.00,175,176,235,236
26,1,151.90,153.65,159.26,160.90,62.00,48.00,177,178,237,237
27,1,151.89,152.34,158.69,161.17,62.00,48.00,179,180,238,238
28,1,151.31,151.44,158.85,161.04,62.00,48.00,180,181,239,239
29,1,150.77,150.45,158.46,161.08,62.00,47.00,181,182,240,240
30,1,149.27,148.80,158.23,161.75,62.00,47.00,184,184,242,242
31,1,148.06,147.10,158.30,162.85,62.00,47.00,187,187,243,244
32,1,145.96,145.65,158.80,163.55,62.00,47.00,190,190,245,246
33,1,143.99,144.81,158.94,163.96,62.00,46.00,190,190,246,247
34,1,142.39,143.33,159.61,163.72,62.00,47.00,193,193,247,248
35,1,141.16,142.01,159.98,163.29,62.00,47.00,195,194,248,249
36,1,139.64,140.51,160.51,163.62,62.00,47.00,196,195,250,251
37,1,137.95,138.87,160.13,164.11,62.00,47.00,198,197,251,252
38,1,136.20,137.68,159.20,162.37,62.00,47.00,199,199,253,253
39,1,134.51,135.98,157.68,160.72,62.00,48.00,201,201,254,255
40,1,133.18,134.27,157.02,160.33,62.00,48.00,202,203,255,256
41,1,131.38,132.30,156.74,160.24,62.00,48.00,203,204,257,257
42,1,129.71,129.84,156.71,160.49,62.00,48.00,205,206,258,259
43,1,127.32,127.32,156.76,162.06,62.00,48.00,206,207,260,260
44,1,126.48,125.62,158.05,163.98,62.00,48.00,207,209,261,261
45,1,125.36,124.39,158.61,164.38,62.00,48.00,208,210,261,262
46,1,123.21,121.70,159.68,164.78,62.00,49.00,210,212,263,264
47,2,119.68,119.16,160.28,165.00,62.00,49.00,212,213,264,265
48,2,117.62,118.06,160.79,165.18,61.00,49.00,212,213,265,266
49,2,116.79,116.72,161.36,165.10,61.00,49.00,213,215,266,266
50,2,115.90,114.54,161.48,164.60,61.00,49.00,214,216,267,267
51,2,113.69,111.30,161.34,163.88,61.00,49.00,215,217,268,269
52,2,112.20,109.24,160.39,162.99,61.00,49.00,215,217,269,270
53,2,110.42,107.17,159.24,162.75,61.00,48.00,217,218,270,271
